127.0.0.1, 2012-07-10 16:01:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000545
127.0.0.1, 2012-07-10 16:01:11, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.034410
127.0.0.1, 2012-07-10 16:01:16, POST, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.038491
127.0.0.1, 2012-07-10 16:01:20, GET, /testGeogebraApp/default/applet, HTTP/1.1, 500, 0.121043
127.0.0.1, 2012-07-10 16:01:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000573
127.0.0.1, 2012-07-10 16:01:22, GET, /admin/default/ticket/testGeogebraApp/127.0.0.1.2012-07-10.16-01-20.868ecb8f-b4f6-4f73-b964-94eeb1c6e72a, HTTP/1.1, 200, 0.155030
127.0.0.1, 2012-07-10 16:01:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000582
127.0.0.1, 2012-07-10 16:01:31, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.053756
127.0.0.1, 2012-07-10 16:01:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000540
127.0.0.1, 2012-07-10 16:01:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000530
127.0.0.1, 2012-07-10 16:01:41, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.034594
127.0.0.1, 2012-07-10 16:01:49, POST, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.041544
127.0.0.1, 2012-07-10 16:01:52, GET, /testGeogebraApp/default/applet, HTTP/1.1, 500, 0.109581
127.0.0.1, 2012-07-10 16:01:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000563
127.0.0.1, 2012-07-10 16:01:54, GET, /admin/default/ticket/testGeogebraApp/127.0.0.1.2012-07-10.16-01-51.cba01386-4624-4cf2-8d25-2aae29123a18, HTTP/1.1, 200, 0.132599
127.0.0.1, 2012-07-10 16:01:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000534
127.0.0.1, 2012-07-10 16:02:01, GET, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.055648
127.0.0.1, 2012-07-10 16:02:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000548
127.0.0.1, 2012-07-10 16:02:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000562
127.0.0.1, 2012-07-10 16:02:11, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.037416
127.0.0.1, 2012-07-10 16:02:34, POST, /admin/default/edit/testGeogebraApp/views/default/applet.html, HTTP/1.1, 200, 0.041149
